"","",""
"Apple TV","Apple TV",""
"Force Touch","Force Touch",""
"Mac mini","Mac mini",""
"Mac pro","Mac Pro",""
"MacBook Air","MacBook Air",""
"MacBook Pro","%fillpopup:default=MacBook Pro:MacBook Pro with Retina display%","MacBook Pro"
"OSX","OS X",""
"apple watch","Apple Watch",""
"bluesky","https://bsky.app/profile/extratone.bsky.social","URL to my Bluesky profile."
"iPad air","iPad Air",""
"iPad mini","iPad mini",""
"iPhone 2G","iPhone","iPhone"
"iPhone 3GS","iPhone 3GS",""
"iPhone 4S","iPhone 4S",""
"iPhone 5c","iPhone 5c",""
"iPhone 5s","iPhone 5s",""
"iPod classic","iPod classic",""
"iPod mini","iPod mini",""
"iPod nano","iPod nano",""
"iPod shuffle","iPod shuffle",""
"iPod touch","iPod touch","iPod touch"
"iimac","iMac %fillpart%with Retina 5K display%fillpartend%","iMac builder"
"iipad","iPad %fillpopup:default=:Air:mini% %fillpopup::2:3%","iPad builder"
"iiphone","iPhone %fillpopup::3G:3GS:4:4S:5:5s:5c:6:6 Plus%","iPhone builder"
"ios","iOS","iOS"
"iphone 6 plus","iPhone 6 Plus",""
"iphone 6+","iPhone 6 Plus",""
"itouch","iPod touch","iPod touch"
"mmacbook","MacBook %fillpopup:default=:Air:Pro% %fillpart%with Retina display%fillpartend%","MacBook Pro builder"
"mosx","%fillpart:default=no%Mac %fillpartend%OS X %fillpopup:Cheetah:Puma:Jaguar:Panther:Tiger:Leopard:Snow Leopard:Lion:Mountain Lion:Mavericks:default=Yosemite%","OS X builder"
"rmbp","MacBook Pro with Retina display",""
"with Retina 5K Display","with Retina 5K display",""
"with retina display","with Retina display",""
