"","if ('createTouch' in document)
{
    try
    {
        var ignore = /:hover/;
        for (var i=0; i<document.styleSheets.length; i++)
        {
            var sheet = document.styleSheets[i];
            for (var j=sheet.cssRules.length-1; j>=0; j--)
            {
                var rule = sheet.cssRules[j];
                if (rule.type === CSSRule.STYLE_RULE && ignore.test(rule.selectorText))
                {
                    sheet.deleteRule(j);
                }
            }
        }
    }
    catch(e){}
}","Remove Hover Styles on iOS"
",Oconlog","console.log('%O', %|);","console.log() JS object"
",cconlog","console.log('%c%|', 'color: blue;');","console.log() Styled"
",conassert","console.assert(condition, '');","console.assert()"
",conerror","console.error('%|');","console.error()"
",congroup","console.group('%|');
// ...
console.groupEnd();","console.group()"
",conlog","console.log('%|');","console.log()"
",contime","console.time('%filltext:name=label%');
// … %|
console.timeEnd('%filltext:name=label%');","console.time()"
",conwarn","console.warn('%|');","console.warn()"
",docready","$(document).ready(function(){
	%|
});",""
",eprevent","e.preventDefault();","PreventDefault"
",es6objtemplate","var %| = {
  init() {
    this.cache();
    this.bindEvents();
  }

  cache() {
    
  }

  bindEvents() {
    
  }
}","Object Template ES6"
",jsaddcssrule","function addCssRule(sheet, selector, rules, index) {
  if(sheet.insertRule) {
    sheet.insertRule(selector + ""{"" + rules + ""}"", index);
  }
  else {
    sheet.addRule(selector, rules, index);
  }
}

// addCssRule(document.styleSheets[0], '', '');",""
",jsafter","document.querySelector('%|').insertAdjacentHTML('afterend', '<div></div>')","Add After Elem"
",jsajaxcache","var ajaxCache = {};

$('#ajaxForm').on('submit', function(e) {
  var key = $('#field').val(); // get a key to store/cache for lookup

  if ( !ajaxCache[key] ) {
    ajaxCache[key] = $.ajax({
      url: 'http://',
      dataType: 'jsonp',
      data: {},
      timeout: 15000
    });
  }
  ajaxCache[key].done().fail().always();

  e.preventDefault();
});","jQuery Ajax Cache"
",jsappend","document.querySelector('%|').insertAdjacentHTML('beforeend', '<div></div>')","Append Elem"
",jsbefore","document.querySelector('%|').insertAdjacentHTML('beforebegin', '<div></div>')","Add Before Elem"
",jsdelete","document.querySelector('%filltext:name=elem%').parentNode.removeChild(document.querySelector('%filltext:name=elem%'))","Remove Elem"
",jsevtdel","el.addEventListener(""click"",function(e) {
  if(e.target && e.target.nodeName == ""%|"") {
    // ...
  }
});","Event Delegation"
",jsextend","function extend(destination, source) {
    var toString = Object.prototype.toString,
        objTest = toString.call({});
    for (var property in source) {
        if (source[property] && objTest == toString.call(source[property])) {
            destination[property] = destination[property] || {};
            extend(destination[property], source[property]);
        } else {
            destination[property] = source[property];
        }
    }
    return destination;
};",""
",jshintrc","{
  // JSHint Default Configuration File (as on JSHint website)
  // See http://jshint.com/docs/ for more details

  ""maxerr""        : 50,       // {int} Maximum error before stopping

  // Enforcing
  ""bitwise""       : true,     // true: Prohibit bitwise operators (&, |, ^, etc.)
  ""camelcase""     : false,    // true: Identifiers must be in camelCase
  ""curly""         : true,     // true: Require {} for every new block or scope
  ""eqeqeq""        : true,     // true: Require triple equals (===) for comparison
  ""forin""         : true,     // true: Require filtering for..in loops with obj.hasOwnProperty()
  ""immed""         : false,    // true: Require immediate invocations to be wrapped in parens e.g. `(function () { } ());`
  ""indent""        : 4,        // {int} Number of spaces to use for indentation
  ""latedef""       : false,    // true: Require variables/functions to be defined before being used
  ""newcap""        : false,    // true: Require capitalization of all constructor functions e.g. `new F()`
  ""noarg""         : true,     // true: Prohibit use of `arguments.caller` and `arguments.callee`
  ""noempty""       : true,     // true: Prohibit use of empty blocks
  ""nonew""         : false,    // true: Prohibit use of constructors for side-effects (without assignment)
  ""plusplus""      : false,    // true: Prohibit use of `++` & `--`
  ""quotmark""      : false,    // Quotation mark consistency:
                              //   false    : do nothing (default)
                              //   true     : ensure whatever is used is consistent
                              //   ""single"" : require single quotes
                              //   ""double"" : require double quotes
  ""undef""         : true,     // true: Require all non-global variables to be declared (prevents global leaks)
  ""unused""        : true,     // true: Require all defined variables be used
  ""strict""        : true,     // true: Requires all functions run in ES5 Strict Mode
  ""trailing""      : false,    // true: Prohibit trailing whitespaces
  ""maxparams""     : false,    // {int} Max number of formal params allowed per function
  ""maxdepth""      : false,    // {int} Max depth of nested blocks (within functions)
  ""maxstatements"" : false,    // {int} Max number statements per function
  ""maxcomplexity"" : false,    // {int} Max cyclomatic complexity per function
  ""maxlen""        : false,    // {int} Max number of characters per line

  // Relaxing
  ""asi""           : false,     // true: Tolerate Automatic Semicolon Insertion (no semicolons)
  ""boss""          : false,     // true: Tolerate assignments where comparisons would be expected
  ""debug""         : false,     // true: Allow debugger statements e.g. browser breakpoints.
  ""eqnull""        : false,     // true: Tolerate use of `== null`
  ""es5""           : false,     // true: Allow ES5 syntax (ex: getters and setters)
  ""esnext""        : false,     // true: Allow ES.next (ES6) syntax (ex: `const`)
  ""moz""           : false,     // true: Allow Mozilla specific syntax (extends and overrides esnext features)
                               // (ex: `for each`, multiple try/catch, function expression…)
  ""evil""          : false,     // true: Tolerate use of `eval` and `new Function()`
  ""expr""          : false,     // true: Tolerate `ExpressionStatement` as Programs
  ""funcscope""     : false,     // true: Tolerate defining variables inside control statements""
  ""globalstrict""  : false,     // true: Allow global ""use strict"" (also enables 'strict')
  ""iterator""      : false,     // true: Tolerate using the `__iterator__` property
  ""lastsemic""     : false,     // true: Tolerate omitting a semicolon for the last statement of a 1-line block
  ""laxbreak""      : false,     // true: Tolerate possibly unsafe line breakings
  ""laxcomma""      : false,     // true: Tolerate comma-first style coding
  ""loopfunc""      : false,     // true: Tolerate functions being defined in loops
  ""multistr""      : false,     // true: Tolerate multi-line strings
  ""proto""         : false,     // true: Tolerate using the `__proto__` property
  ""scripturl""     : false,     // true: Tolerate script-targeted URLs
  ""smarttabs""     : false,     // true: Tolerate mixed tabs/spaces when used for alignment
  ""shadow""        : false,     // true: Allows re-define variables later in code e.g. `var x=1; x=2;`
  ""sub""           : false,     // true: Tolerate using `[]` notation when it can still be expressed in dot notation
  ""supernew""      : false,     // true: Tolerate `new function () { ... };` and `new Object;`
  ""validthis""     : false,     // true: Tolerate using this in a non-constructor function

  // Environments
  ""browser""       : true,     // Web Browser (window, document, etc)
  ""couch""         : false,    // CouchDB
  ""devel""         : true,     // Development/debugging (alert, confirm, etc)
  ""dojo""          : false,    // Dojo Toolkit
  ""jquery""        : false,    // jQuery
  ""mootools""      : false,    // MooTools
  ""node""          : false,    // Node.js
  ""nonstandard""   : false,    // Widely adopted globals (escape, unescape, etc)
  ""prototypejs""   : false,    // Prototype and Scriptaculous
  ""rhino""         : false,    // Rhino
  ""worker""        : false,    // Web Workers
  ""wsh""           : false,    // Windows Scripting Host
  ""yui""           : false,    // Yahoo User Interface

  // Legacy
  ""nomen""         : false,    // true: Prohibit dangling `_` in variables
  ""onevar""        : false,    // true: Allow only one `var` statement per function
  ""passfail""      : false,    // true: Stop on first error
  ""white""         : false,    // true: Check against strict whitespace and indentation rules

  // Custom Globals
  ""predef""        : [ ]       // additional predefined global variables
}","JSHint Config File"
",jsidelem","document.getElementById('%|');","getElementById"
