"aech","hͨ͋̈͊̔̾̆̒͏̧̗̗̠̖","h"
"fuckissue","https://github.com/extratone/bilge/issues/222","URL to my “How to Fuck Text” guide’s (WIP) corresponding GitHub Issue."
"fuckshare","https://app.textexpander.com/public/12c50fb2360617d3cc66d757cf26383b","URL to share this Snippet Group"
"gm1","⅁🇴🇴⍙  ㎚@ⓡⓝ⌶🅽g !⏚⏚","Good Morning 1"
"gm2","ⓖⓞⓞⓓ ⓜⓞⓡⓝⓘⓝⓖ","Good Morning 2"
"gm3","G̏̽͋ͩͬ͊̈́o͌ͭ͆̂̍̈́̌oͩ͒ͩd̋̃͑ ͐ͣm̌orͬͥͤͣ̊n̋ͧͩ͐i͛̉n̔̎g̏͂̔ͦ̈!","Good Morning 3"
"gm4","g o o d   m o r n i n g","Good Morning 4"
"gm5","𝘨   𝘰   𝘰   𝘥       𝘮   𝘰   𝘳   𝘯   𝘪   𝘯   𝘨",""
"gm6","🅖  🅞  🅞  🅓    🅜  🅞  🅡  🅝  🅘  🅝  🅖",""
"wli1","Щ́̇͋ͯ̋̅Σ̾̒͋ͯͭ ̊ᄂ̋̈͐İͬV̏̆̊͛̍̌Σ̆ͣͣͭ͐ͫ̆̊ ͪͬ̿̈́̑ͤ̚IͫП̎̿͑ͦ͆̚ ͣͫ͌ͨ̈Λ̃͛̓ͦͪ͒̑̽ ͛̑ͤ͊ͭƬ̒I̅͌̊̑ͧͪM̈́̓Σ̋̏͂͐͊͆ͣ","We Live in a Time"
"wli2","Щ́̇͋ͯ̋̅͋̃͗ͨ̍ͤ̽̐ͦ͐̐͆̚͝҉̨̻̖̝̝́͠Σ̶̷͍͓͇̳͇̳̦̥͉͖̾̒͋ͯͭͮ̐̒ͧ̇ ̶̴̡̞̞̙̯̼̊̂ͪ́͒̊ͯ̽ͦͮͨ̀̀̔͛̑̂̚͠͞ᄂ̝̯̤͔̟̪̖̳̻̬͙̠̤̙̹̳̋̈͐͐ͩ͒̆ͪ͊̔͛͑̒ͥ̑̚͢͞İ̧̨ͬ̊̉̍̄̆҉̳̠̙̺̦V̶̶̢̝̦̳̦̯͕͉̰̳̲̖̳͍͚̲̫̝̏̆̊͛̍̌ͨ̾̈ͫͩͥ̅̆͋ͨͫ͐ͪͯ͘Σ̷̢̛͍̯̜̰͈̪̼̙͓͙̥̲͙̫͍̰̜̺̆ͣͣͭ͐ͫ̆̊̏̈́̑ͫͯͦ̾̒̈ͫ͛̐͌̽̐̔̀͒ͧ̀ ̴͈̗͇̖̭̠̲͕̫̘͍̳͍̤͇̪̘ͪͬ̿̈́̑ͤ̅ͧ̀ͮ̃͋̇̽͆̓ͩ̂̌́̚I̸̴̧͓̺͍͙̱͓͈̟̣̻̳̺̘͉̝̱͍͇ͫ̀̋̈́͒̆͜П̡̧̪̰̱̞̣̯̻͇̻͍̬̘̼͖̙̰̎̿͑ͦ͆̾͗͊ͨͮͦ̂̄̉ͤ̚͘͟ ̧̢̛̰͖͉̤̮̫͇͎͕̙ͣͫ͌ͨ̈̓͌̅̍̈ͣ͗͐̂ͣ͠͞Λ̶̴̥̘̗͓̩̦͇̦̹̃͛̓ͦͪ͒̑̽ͨ̌̓͛͂͌̈́̾̊̌ͯ̉̎͢ ̸͛̑ͤ͊ͭͫ̎͋̐̒̿ͭ̄̋̃̿̋̌͂̈͏̵̨͉͎͕̖͕͠Ƭ̒̂̆̔ͯ͌ͩ̔͆̌̏ͭͫͥ̂ͤͧ̎͒̆͏̶̛̩͖͎͔͖̬̝̲͓̼̟͙͜͟I̅͌̊̑ͧͪͭ̂̊ͭ̿͒̆ͬͤ͒͆ͬ̅̐̉̾͂҉͏͕̜̤̩͍̘̺̺̝͓̖̦̘͖̪̠M̸̈́̓̄̅̃̽ͥ̀̃̉̓̈́̈́̅̃ͯ̔ͩ̾͛͟҉̳͙͙̹̺̠̖̲̻̹̰̝͓Σ̶̧̮̹̙̲̫̱̋̏͂͐͊͆ͣ̈͂͌ͤ̽̇ͫ͛̍͋̑ͧ͞͞","We Live in A Time HUGE"
